               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.010249,           0.0042592,                   0,             0.99949,                   1,               0.995,             0.99178,           0.0027969,           0.0010434,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.010215,           0.0040347,                   0,             0.99953,                   1,               0.995,              0.9897,           0.0030183,           0.0011293,                   0,            0.002278,            0.002278,            0.002278
                  41,           0.0096601,           0.0040595,                   0,             0.99949,                   1,               0.995,             0.99236,            0.002856,           0.0010495,                   0,             0.00208,             0.00208,             0.00208
                  42,           0.0097146,           0.0039461,                   0,              0.9995,                   1,               0.995,             0.99277,           0.0028982,           0.0011208,                   0,            0.001882,            0.001882,            0.001882
                  43,           0.0095506,           0.0040162,                   0,             0.99953,                   1,               0.995,             0.99357,           0.0027176,           0.0010918,                   0,            0.001684,            0.001684,            0.001684
                  44,           0.0086291,           0.0036838,                   0,             0.99953,                   1,               0.995,             0.99064,           0.0027006,          0.00098586,                   0,            0.001486,            0.001486,            0.001486
                  45,           0.0092409,           0.0039061,                   0,             0.99948,                   1,               0.995,             0.99332,           0.0027165,            0.001043,                   0,            0.001288,            0.001288,            0.001288
                  46,           0.0088391,           0.0036884,                   0,             0.99952,                   1,               0.995,             0.99327,           0.0024335,          0.00095832,                   0,             0.00109,             0.00109,             0.00109
                  47,           0.0085748,           0.0035357,                   0,             0.99952,                   1,               0.995,             0.99125,           0.0023842,          0.00090313,                   0,            0.000892,            0.000892,            0.000892
                  48,           0.0086118,           0.0038597,                   0,              0.9995,                   1,               0.995,             0.99333,            0.002349,          0.00092614,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.008445,           0.0035776,                   0,             0.99955,                   1,               0.995,             0.99329,           0.0023465,          0.00093341,                   0,            0.000496,            0.000496,            0.000496
